focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
malignant ovarian surface epithelial-stromal neoplasm,ovary epithelial cancer,True,An ovary epithelial cancer that has material basis in epithelial and stromal tissue and arises from the surface epithelium of the ovary.,An ovarian cancer that is derives from ovarian surface epithelium.
cataract,lens disease,True,A lens disease characterized by clouding of the lens inside the eye which leads to a decrease in vision.,"An eye disease that affects the lens of the eye, which is the transparent disc that focuses light to the photosensors in the back of the eye."
pertussis,commensal bacterial infectious disease,True,"A commensal bacterial infectious disease that results in inflammation located in respiratory tract, has material basis in Bordetella pertussis, or has material basis in Bordetella parapertussis, which produce toxins that paralyze the cilia of the respiratory epithelial cells. The infection is characterized by a prolonged, high-pitched, deeply indrawn breath (whoop).","A bacterial infectious disease that results in infection by bacteria which are part of the normal human flora when one or more of the defense mechanisms designed to restrict them from the usually sterile internal tissues are breached by accident, by intent (surgery), or by an underlying metabolic or an infectious disorder."
citrullinemia,urea cycle disorder,True,An inherited urea cycle disorder that involves the accumulation of ammonia and other toxic substances in the blood.,An amino acid metabolic disorder that involves a deficiency of one of the enzymes in the urea cycle which is responsible for removing ammonia from the blood stream.
glucose metabolism disease,carbohydrate metabolic disorder,True,A carbohydrate metabolic disorder that is characterized by blood glucose levels which cannot be maintained within the normal range.,An inherited metabolic disorder that affect the catabolism and anabolism of carbohydrates.
cercarial dermatitis,schistosomiasis,True,"A schistosomiasis that is a short-term, cutaneous inflammatory response associated with penetration of the skin by cercariae of bird schistosome, Austrobilharzia variglandis. The disease has symptom skin reddening, has symptom skin itching, in the water or immediately after emerging and has symptom itchy, raised papules, occur within hours of infection.","A parasitic helminthiasis infectious disease that involves infection of the intestine, urinary tract, skin, liver and spleen caused by multiple species of the trematode fluke of the genus Schistosoma. The symptoms include fever, chills, nausea, abdominal pain, diarrhea, malaise, myalgia, liver and spleen enlargement, rash and hematuria."
colon adenoma,colonic benign neoplasm,True,A colonic benign neoplasm that has material basis in epithelial tissue with glandular origin.,An intestinal benign neoplasm that is located in the colon.
ectopic pregnancy,female reproductive system disease,True,A female reproductive system disease characterized by the implantation of the embryo outside the uterine cavity.,"A reproductive system disease that impairs the ability to reproduce and is located in the uterus, vagina, cervix, ovaries or fallopian tubes."
cervical adenocarcinoma,cervix carcinoma,True,A cervix carcinoma that derives from epithelial cells of glandular origin.,A cervical cancer that is located in the cervix uteri or located in the cervical area and that has material basis in abnormally proliferating cells derives from epithelial cells.
neuroma,nervous system benign neoplasm,True,A nervous system benign neoplasm that is characterized as a nerve tissue tumor.,An organ system benign neoplasm that is located in the central nervous system or located in the peripheral nervous system.
antisynthetase syndrome,autoimmune disease,True,"An autoimmune disease that is characterized by myositis, arthralgia, Raynaud phenomenon, mechanic hands, interstitial lung disease, and serum autoantibodies to aminoacyl transfer RNA synthetases.",An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.
long QT syndrome,intrinsic cardiomyopathy,True,"An autosomal genetic disease that is characterized by delayed repolarization of the heart following a heartbeat increases the risk of episodes of torsade de pointes (TDP, a form of irregular heartbeat that originates from the ventricles).",A cardiomyopathy that is characterized as weakness in the muscle of the heart that is not due to an identifiable external cause.
diabetic angiopathy,peripheral vascular disease,True,A peripheral vascular disease that is characterized by narrowing of the arteries as a complication arising from chronic diabetes.,"A vascular disease that is characterized by obstruction of larger arteries not within the coronary, aortic arch vasculature, or brain."
substance dependence,substance-related disorder,True,A substance-related disorder that involves the continued use of alcohol or other drugs despite problems related to use of the substance.,"A disease of mental health involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning."
glycoproteinosis,mucolipidosis,True,A mucolipidosis that is characterized by a deficiency of the enzyme alpha-N -acetyl neuraminidase (sialidase).,A lipid storage disease that is characterized by increased storage of carbohydrates and lipids.
chondromalacia,articular cartilage disease,True,A cartilage disease that is characterized by softening and breakdown of cartilage inside a joint.,A cartilage disease that is characterized by damage to the cartilage that covers the ends of the bones.
peripheral vertigo,vestibular disease,True,A vestibular disease that is characterized by a sensation of motion or spinning that is often described as dizziness due to a problem in the part of the inner ear that controls balance.,An inner ear disease that is located in the vestibular system.
Lambert-Eaton myasthenic syndrome,autoimmune disease of peripheral nervous system,True,A neuromuscular junction disease that is characterized by an abnormality of acetylcholine (ACh) release at the neuromuscular junction which results from an autoimmune attack against voltage-gated calcium channels (VGCC) on the presynaptic motor nerve terminal.,An autoimmune disease of the nervous system that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the peripheral nervous system.
